metric,test_used,statistic,p_value,effect_size_tfidf_vs_bm25,effect_size_tfidf_vs_dense,effect_size_bm25_vs_dense
precision@1,Kruskal-Wallis,16.081731601732073,0.00032203001551920767,0.0429374856975597,-0.33762606424203473,-0.381207959379005
precision@3,Kruskal-Wallis,17.84313374935541,0.0001334789360890053,0.23330199013943653,-0.18912400818254815,-0.40607316744076283
precision@5,Kruskal-Wallis,17.84313374935541,0.0001334789360890053,0.23330199013943628,-0.18912400818254663,-0.4060731674407613
recall@1,Kruskal-Wallis,14.637974177360856,0.0006628332626118115,0.03580866116153552,-0.33032614572548674,-0.36618903151400684
recall@3,Kruskal-Wallis,14.342401616353301,0.00076839947663773,0.2347065064722746,-0.1672497144019214,-0.3916285933388173
recall@5,Kruskal-Wallis,14.342401616353301,0.00076839947663773,0.2347065064722746,-0.1672497144019214,-0.3916285933388173
ndcg@1,Kruskal-Wallis,16.081731601732073,0.00032203001551920767,0.0429374856975597,-0.33762606424203473,-0.381207959379005
ndcg@3,Kruskal-Wallis,17.262779553570503,0.00017841651365255593,0.15560693303925846,-0.32419221774554347,-0.4499717636153112
ndcg@5,Kruskal-Wallis,17.262779553570503,0.00017841651365255593,0.15560693303925846,-0.32419221774554347,-0.4499717636153112
rouge_l,Kruskal-Wallis,9.062005401689474,0.010769871697421477,0.010418048924998884,-0.2628703249336774,-0.2722283821375668
bertscore_f1,Kruskal-Wallis,9.391152224927227,0.009135602716932353,0.05701674930436404,-0.2787237134697137,-0.3321705583057592
